ident,type,name,iata_code,coordinates
EGAB,medium_airport,St Angelo Airport,ENK,"-7.651669979095459, 54.39889907836914"
EGAC,large_airport,George Best Belfast City Airport,BHD,"-5.872499942779541, 54.618099212646484"
EGAE,medium_airport,City of Derry Airport,LDY,"-7.161109924316406, 55.04280090332031"
EGBB,large_airport,Birmingham International Airport,BHX,"-1.74802994728, 52.453899383499994"
EGBE,medium_airport,Coventry Airport,CVT,"-1.4797199964499999, 52.3697013855"
EGBJ,medium_airport,Gloucestershire Airport,GLO,"-2.167220115661621, 51.89419937133789"
EGBN,medium_airport,Nottingham Airport,NQT,"-1.0791699886322021, 52.91999816894531"
EGCC,large_airport,Manchester Airport,MAN,"-2.2749500274658203, 53.35369873046875"
EGCN,large_airport,Robin Hood Doncaster Sheffield Airport,DSA,"-1.01065635681, 53.4805378105"
EGDY,medium_airport,RNAS Yeovilton,YEO,"-2.638819932937622, 51.0093994140625"
EGEC,medium_airport,Campbeltown Airport,CAL,"-5.686389923095703, 55.437198638916016"
EGED,medium_airport,Eday Airport,EOI,"-2.7722198963165283, 59.19060134887695"
EGEF,medium_airport,Fair Isle Airport,FIE,"-1.628059983253479, 59.53580093383789"
EGFE,medium_airport,Haverfordwest Airport,HAW,"-4.9611101150512695, 51.833099365234375"
EGFF,large_airport,Cardiff International Airport,CWL,"-3.343329906463623, 51.39670181274414"
EGFH,medium_airport,Swansea Airport,SWS,"-4.0678300857543945, 51.60530090332031"
EGGD,large_airport,Bristol Airport,BRS,"-2.71909, 51.382702"
EGGP,large_airport,Liverpool John Lennon Airport,LPL,"-2.849720001220703, 53.33359909057617"
EGGW,large_airport,London Luton Airport,LTN,"-0.36833301186561584, 51.874698638916016"
EGHC,medium_airport,Land's End Airport,LEQ,"-5.67056, 50.102798"
EGHE,medium_airport,St. Mary's Airport,ISC,"-6.291669845581055, 49.913299560546875"
EGHH,large_airport,Bournemouth Airport,BOH,"-1.8424999713897705, 50.779998779296875"
EGHI,large_airport,Southampton Airport,SOU,"-1.3567999601364136, 50.95029830932617"
EGHQ,medium_airport,Newquay Cornwall Airport,NQY,"-4.995409965515137, 50.44060134887695"
EGJA,medium_airport,Alderney Airport,ACI,"-2.21472, 49.706104"
EGJB,medium_airport,Guernsey Airport,GCI,"-2.6019699573516846, 49.435001373291016"
EGJJ,medium_airport,Jersey Airport,JER,"-2.195509910583496, 49.20790100097656"
EGKA,medium_airport,Shoreham Airport,ESH,"-0.297222, 50.835602"
EGKB,medium_airport,London Biggin Hill Airport,BQH,"0.0324999988079, 51.33079910279999"
EGKK,large_airport,London Gatwick Airport,LGW,"-0.190278, 51.148102"
EGLC,medium_airport,London City Airport,LCY,"0.055278, 51.505299"
EGLF,medium_airport,Farnborough Airport,FAB,"-0.776332974434, 51.2757987976"
EGLK,medium_airport,Blackbushe Airport,BBS,"-0.8475000262260437, 51.32389831542969"
EGLL,large_airport,London Heathrow Airport,LHR,"-0.461941, 51.4706"
