name,id,overall_rating,queuing_efficiency,cleanliness,shopping_facilities
Stockholm Västerås Airport,VST,10.0,5.0,5.0,4.0
Stockholm-Arlanda Airport,ARN,4.576923076923077,3.294117647058824,3.941176470588236,3.125
Riga International Airport,RIX,5.6,3.272727272727273,4.363636363636363,3.090909090909091
Kaunas International Airport,KUN,7.0,4.0,4.0,4.0
Vilnius International Airport,VNO,4.5,4.0,4.0,2.857142857142857
Fuerteventura Airport,FUE,5.857142857142857,4.2,4.8,4.6
La Palma Airport,SPC,4.56,2.619047619047619,3.523809523809524,3.0476190476190474
Gran Canaria Airport,LPA,1.0,1.0,4.0,2.5
Tenerife South Airport,TFS,5.25,3.6666666666666665,3.5,3.6666666666666665
Tirana International Airport Mother Teresa,TIA,5.5,3.5,5.0,3.5
Plovdiv International Airport,PDV,7.0,4.0,4.0,3.0
Sofia Airport,SOF,3.947368421052632,3.5,3.4166666666666665,2.272727272727273
Varna Airport,VAR,2.6666666666666665,1.0,3.0,1.0
Dubrovnik Airport,DBV,5.0,4.5,5.0,3.5
Pula Airport,PUY,5.5,5.0,3.0,3.0
Rijeka Airport,RJK,8.0,4.0,4.0,2.0
Split Airport,SPU,3.272727272727273,2.833333333333333,4.166666666666667,2.0
Zagreb Airport,ZAG,4.533333333333333,3.083333333333333,3.4166666666666665,2.4166666666666665
Alicante International Airport,ALC,4.523809523809524,3.176470588235294,4.0,3.294117647058824
Asturias Airport,OVD,6.0,3.0,5.0,3.0
Bilbao Airport,BIO,6.25,4.4,4.2,3.2
